Fund ID,Department ID,Program ID,Account ID,Estimates 2022
1001,43740,764,510501,-
1001,43740,765,510501,"-80,262"
1001,43740,766,510501,-
1001,43740,101,510503,-
1001,43740,761,510503,-
1001,43740,764,510503,-
1001,43740,765,510503,-
1001,43740,766,510503,-
1001,43740,101,510518,-
1001,43740,101,510506,-550
1001,43740,761,510519,-
1001,43740,101,520520,-186
1001,43740,761,520520,-
1001,43740,764,520520,-
1001,43740,765,520520,-126
1001,43740,766,520520,-
1001,43740,101,520521,"-8,534"
1001,43740,761,520521,-
1001,43740,765,520521,"-18,538"
1001,43740,766,520521,-
1001,43740,761,520515,
1001,43740,765,520515,
1001,43740,101,520522,"-11,352"
1001,43740,761,520522,-
1001,43740,764,520522,-
1001,43740,765,520522,"-4,976"
1001,43740,766,520522,-
1001,43740,101,520523,"-2,655"
1001,43740,761,520523,-
1001,43740,764,520523,-
1001,43740,765,520523,"-1,164"
1001,43740,766,520523,-
1001,43740,101,520527,"-9,774"
1001,43740,761,520527,-
1001,43740,764,520527,-
1001,43740,765,520527,"-4,463"
1001,43740,766,520527,-
1001,43740,101,530650,"-4,600"
1001,43740,761,530660,"-123,000"
1001,43740,765,530660,-
1001,43740,761,530667,-
1001,43740,765,530667,"-85,000"
1001,43740,101,550602,-200
1001,43740,101,550632,"-3,000"
1001,43740,761,550673,"-1,000"
1001,43740,101,560620,-200
1001,43740,101,560625,"-3,500"
1001,43740,761,560631,"-10,000"
1001,43740,765,560631,"-2,000"
1001,43740,761,560633,-
1001,43740,765,560633,-
1001,43740,761,560634,"-50,000"
1001,43740,761,570710,"-2,600"
1001,43790,101,510501,"-176,079"
1001,43790,101,510503,-
1001,43790,101,520520,-186
1001,43790,101,520521,"-40,401"
1001,43790,101,520522,"-10,917"
1001,43790,101,520523,"-2,553"
1001,43790,101,520527,"-9,790"
1001,43790,101,530650,-500
1001,43790,711,530660,"-360,000"
1001,43790,712,530660,-
1001,43790,713,530660,"-200,000"
1001,43790,714,530660,"-27,000"
1001,43790,717,530660,"-90,000"
1001,43790,101,540674,-
1001,43790,711,540674,"-80,000"
1001,43790,712,540674,-
1001,43790,713,540674,"-60,000"
1001,43790,714,540674,"-10,000"
1001,43790,717,540674,"-1,500"
1001,43790,711,540691,"-30,000"
1001,43790,713,540691,"-5,000"
1001,43790,714,540691,"-7,000"
1001,43790,717,540691,-500
1001,43790,713,540692,"-125,000"
1001,43790,714,540692,"-10,000"
1001,43790,717,540692,-
1001,43790,717,540693,-700
1001,43790,101,560625,-300
1001,43790,711,560627,"-60,000"
1001,43790,712,560627,-
1001,43790,713,560627,"-40,000"
1001,43790,714,560627,"-2,500"
1001,43790,717,560627,"-2,500"
1001,43800,101,510501,"-162,664"
1001,43800,741,510501,"-116,059"
1001,43800,101,510503,"-5,000"
1001,43800,741,510503,"-10,000"
1001,43800,101,510518,-
1001,43800,101,510506,-
1001,43800,101,510519,-
1001,43800,101,520520,-186
1001,43800,741,520520,-177
1001,43800,101,520521,"-42,990"
1001,43800,741,520521,"-42,684"
1001,43800,101,520522,"-10,085"
1001,43800,741,520522,"-7,196"
1001,43800,101,520523,"-2,359"
1001,43800,741,520523,"-1,683"
1001,43800,101,520527,"-8,638"
1001,43800,741,520527,"-6,453"
1001,43800,101,530650,"-4,500"
1001,43800,742,530660,"-305,000"
1001,43800,101,530667,"-27,500"
1001,43800,741,530667,"-655,000"
1001,43800,101,540691,-
1001,43800,742,540691,"-4,500"
1001,43800,101,540690,-
1001,43800,101,550602,"-2,830"
1001,43800,101,550603,-500
1001,43800,101,550632,-
1001,43800,101,550652,-400
1001,43800,101,550663,-180
1001,43800,741,550673,-
1001,43800,101,560625,"-3,000"
1001,43800,101,560631,"-10,000"
1001,43800,742,560631,-
1001,43800,741,560670,-
1001,43900,101,510501,"-194,031"
1001,43900,731,510501,"-92,670"
1001,43900,732,510501,"-156,380"
1001,43900,733,510501,"-185,339"
1001,43900,734,510501,"-115,837"
1001,43900,101,510503,"-10,000"
1001,43900,731,510503,-
1001,43900,732,510503,-
1001,43900,733,510503,-
1001,43900,734,510503,-
1001,43900,731,510515,-
1001,43900,732,510515,-
1001,43900,733,510515,-
1001,43900,734,510515,-
1001,43900,101,510518,-
1001,43900,101,510506,-
1001,43900,731,510506,"-1,000"
1001,43900,732,510506,"-1,650"
1001,43900,733,510506,"-2,250"
1001,43900,734,510506,"-1,200"
1001,43900,731,520515,-
1001,43900,732,520515,-
1001,43900,733,520515,-
1001,43900,734,520515,-
1001,43900,101,520520,-186
1001,43900,731,520520,-119
1001,43900,732,520520,-201
1001,43900,733,520520,-238
1001,43900,734,520520,-149
1001,43900,101,520521,"-40,401"
1001,43900,731,520521,"-20,933"
1001,43900,732,520521,"-35,324"
1001,43900,733,520521,"-41,866"
1001,43900,734,520521,"-26,166"
1001,43900,101,520522,"-12,030"
1001,43900,731,520522,"-5,746"
1001,43900,732,520522,"-9,696"
1001,43900,733,520522,"-11,491"
1001,43900,734,520522,"-7,182"
1001,43900,101,520523,"-2,813"
1001,43900,731,520523,"-1,344"
1001,43900,732,520523,"-2,268"
1001,43900,733,520523,"-2,687"
1001,43900,734,520523,"-1,680"
1001,43900,101,520527,"-10,788"
1001,43900,731,520527,"-5,152"
1001,43900,732,520527,"-8,695"
1001,43900,733,520527,"-10,305"
1001,43900,734,520527,"-6,441"
1001,43900,101,530650,"-6,500"
1001,43900,101,530667,"-12,550"
1001,43900,731,530667,"-30,000"
1001,43900,732,530667,"-45,000"
1001,43900,733,530667,"-47,000"
1001,43900,734,530667,"-10,000"
1001,43900,733,540693,-
1001,43900,734,540693,-
1001,43900,101,550601,-
1001,43900,101,550602,"-3,052"
1001,43900,101,550603,"-1,100"
1001,43900,101,550605,-500
1001,43900,101,550632,"-5,750"
1001,43900,101,550652,-200
1001,43900,101,550671,"-4,000"
1001,43900,101,560620,"-1,500"
1001,43900,101,560625,"-1,500"
1001,43900,713,560627,-
1001,43900,101,560631,"-13,000"
1001,43900,731,560636,"-38,000"
1001,43900,732,560636,"-160,000"
1001,43900,733,560636,"-85,000"
1001,43900,734,560636,"-90,000"
1001,43900,101,560637,-
1001,43900,731,560637,"-34,000"
1001,43900,732,560637,"-70,000"
1001,43900,733,560637,"-80,000"
1001,43900,734,560637,"-30,000"
1001,43900,731,560644,"-6,000"
1001,43900,732,560644,"-5,000"
1001,43900,733,560644,"-5,000"
1001,43900,734,560644,"-4,500"
1001,43900,101,570720,-
1001,41100,101,510501,"-149,060"
1001,41100,101,520520,-186
1001,41100,101,520521,"-29,621"
1001,41100,101,520522,"-9,242"
1001,41100,101,520523,"-2,161"
1001,41100,101,520527,"-8,288"
1001,41100,101,530650,"-1,200"
1001,41100,101,530658,-
1001,41100,101,530667,"-14,000"
1001,41100,101,550601,-100
